Node1,Node2
"(240.0, 293.0)","(251.0, 279.0)"
"(79.0, 216.0)","(67.0, 211.0)"
"(79.0, 216.0)","(82.0, 230.0)"
"(307.0, 69.0)","(321.0, 79.0)"
"(307.0, 69.0)","(314.0, 53.0)"
"(124.0, 223.0)","(128.20083959346002, 236.34593460008836)"
"(320.0, 148.0)","(337.2110030932391, 145.74054352629247)"
"(368.0, 313.0)","(376.0, 323.0)"
"(368.0, 313.0)","(354.0, 321.0)"
"(0.0, 101.0)","(13.0, 102.0)"
"(0.0, 101.0)","(8.0, 114.0)"
"(242.0, 180.0)","(249.0, 169.0)"
"(174.0, 193.0)","(185.0, 209.0)"
"(424.0, 243.0)","(432.0, 252.0)"
"(424.0, 243.0)","(412.0, 248.0)"
"(50.0, 256.0)","(34.0, 252.0)"
"(50.0, 256.0)","(51.0, 270.0)"
"(134.0, 66.0)","(118.0, 77.0)"
"(176.0, 165.0)","(190.0, 151.0)"
"(176.0, 165.0)","(180.0, 173.0)"
"(176.0, 165.0)","(165.0, 162.0)"
"(420.0, 218.0)","(424.0, 202.0)"
"(420.0, 218.0)","(404.1354396818383, 223.9906539991162)"
"(59.0, 201.0)","(67.0, 211.0)"
"(59.0, 201.0)","(58.18758285461777, 181.77677861246133)"
"(59.0, 201.0)","(44.80269553689793, 211.635373398144)"
"(68.0, 320.0)","(63.0, 306.0)"
"(90.0, 289.0)","(99.0, 279.0)"
"(415.0, 115.0)","(404.0, 128.0)"
